Unnamed: 0,ID,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F)
0,A-1,2016-02-08 05:46:00,39.865147,-84.058723,Dayton,OH,36.9
1,A-2,2016-02-08 06:07:59,39.92805900000001,-82.831184,Reynoldsburg,OH,37.9
2,A-3,2016-02-08 06:49:27,39.063148,-84.032608,Williamsburg,OH,36.0
3,A-4,2016-02-08 07:23:34,39.747753,-84.20558199999998,Dayton,OH,35.1
4,A-5,2016-02-08 07:39:07,39.627781,-84.188354,Dayton,OH,36.0
5,A-6,2016-02-08 07:44:26,40.10059,-82.92519399999998,Westerville,OH,37.9
6,A-7,2016-02-08 07:59:35,39.758274,-84.23050699999997,Dayton,OH,34.0
7,A-8,2016-02-08 07:59:58,39.770382,-84.194901,Dayton,OH,34.0
8,A-9,2016-02-08 08:00:40,39.778061,-84.172005,Dayton,OH,33.3
9,A-10,2016-02-08 08:10:04,40.10059,-82.92519399999998,Westerville,OH,37.4
10,A-11,2016-02-08 08:14:42,39.952812,-83.119293,Columbus,OH,35.6
11,A-12,2016-02-08 08:21:27,39.932709,-82.83091,Reynoldsburg,OH,37.4
12,A-13,2016-02-08 08:36:34,39.737633,-84.14993299999998,Dayton,OH,33.8
13,A-14,2016-02-08 08:37:07,39.79076,-84.241547,Dayton,OH,36.0
14,A-15,2016-02-08 08:39:43,39.972038,-82.913521,Columbus,OH,37.4
15,A-16,2016-02-08 08:43:20,39.745888,-84.17041,Dayton,OH,33.8
16,A-17,2016-02-08 08:53:17,39.748329,-84.224007,Dayton,OH,35.6
17,A-18,2016-02-08 09:24:37,39.752174,-84.239952,Dayton,OH,36.0
18,A-19,2016-02-08 09:25:17,39.740669,-84.184135,Dayton,OH,37.4
19,A-20,2016-02-08 09:35:35,39.790703,-84.244461,Dayton,OH,36.0
20,A-21,2016-02-08 10:11:15,40.052509,-82.88233199999998,Columbus,OH,33.8
21,A-22,2016-02-08 10:24:27,39.773346,-84.224686,Dayton,OH,36.0
22,A-23,2016-02-08 11:53:19,39.628288,-84.226151,Miamisburg,OH,35.1
23,A-24,2016-02-08 12:00:00,40.023487,-82.994888,Columbus,OH,37.0
24,A-25,2016-02-08 12:16:44,39.761379,-84.25921600000002,Dayton,OH,37.9
25,A-26,2016-02-08 12:41:08,40.158024,-82.641762,Johnstown,OH,37.9
26,A-27,2016-02-08 12:52:05,39.733219,-84.159653,Dayton,OH,36.0
27,A-28,2016-02-08 14:24:48,39.775303,-84.200523,Dayton,OH,39.9
28,A-29,2016-02-08 14:56:57,39.789322,-84.23910500000002,Dayton,OH,39.9
29,A-30,2016-02-08 15:26:14,39.75872,-84.183762,Dayton,OH,39.2
30,A-31,2016-02-08 16:16:08,40.081459,-83.122398,Dublin,OH,37.0
31,A-32,2016-02-08 17:39:24,39.83321,-84.112946,Dayton,OH,34.2
32,A-33,2016-02-08 18:24:00,40.042725,-82.99730699999998,Columbus,OH,33.8
33,A-34,2016-02-08 19:28:00,39.974415,-82.848854,Columbus,OH,34.0
34,A-35,2016-02-08 20:22:38,39.994766,-83.02449,Columbus,OH,33.1
35,A-36,2016-02-08 20:43:00,40.006477,-83.030991,Columbus,OH,33.1
36,A-37,2016-02-09 04:28:48,39.742062,-84.186996,Dayton,OH,23.0
37,A-38,2016-02-09 05:04:34,39.843521,-82.78157,Canal Winchester,OH,23.0
38,A-39,2016-02-09 05:17:08,39.782578,-84.178688,Dayton,OH,22.8
39,A-40,2016-02-09 05:27:20,40.007626,-82.912155,Columbus,OH,26.6
40,A-41,2016-02-09 05:40:57,39.447502,-84.19120799999997,Lebanon,OH,21.0
41,A-42,2016-02-09 05:47:16,39.787731,-84.173439,Dayton,OH,23.0
42,A-43,2016-02-09 05:56:10,39.426277,-83.624611,Sabina,OH,19.9
43,A-44,2016-02-09 06:06:45,39.978306,-82.852554,Columbus,OH,25.0
44,A-45,2016-02-09 06:13:33,39.84182,-84.18960600000003,Dayton,OH,23.0
45,A-46,2016-02-09 06:12:49,39.953625,-82.958954,Columbus,OH,25.0
46,A-47,2016-02-09 06:21:50,40.053082,-83.049644,Columbus,OH,26.1
47,A-48,2016-02-09 06:20:46,39.936874,-82.878723,Columbus,OH,24.8
48,A-49,2016-02-09 06:34:41,39.780643,-84.16349,Dayton,OH,23.0
49,A-50,2016-02-09 06:41:09,39.773193,-84.187454,Dayton,OH,23.0
50,A-51,2016-02-09 06:48:18,39.77858,-84.20468100000002,Dayton,OH,21.9
51,A-52,2016-02-09 06:53:09,39.792988,-84.20607,Dayton,OH,21.9
52,A-53,2016-02-09 06:54:31,39.770382,-84.194901,Dayton,OH,21.9
53,A-54,2016-02-09 07:03:20,39.976398,-83.119225,Columbus,OH,21.2
54,A-55,2016-02-09 07:05:37,39.6395,-84.23136099999998,Dayton,OH,21.0
55,A-56,2016-02-09 07:04:58,39.232578,-84.159286,Goshen,OH,21.0
56,A-57,2016-02-09 07:15:41,39.746593,-84.23912,Dayton,OH,21.9
57,A-58,2016-02-09 07:41:01,39.742783,-84.182472,Dayton,OH,22.5
58,A-59,2016-02-09 07:42:43,39.75452,-84.159279,Dayton,OH,22.5
59,A-60,2016-02-09 07:42:11,39.749916,-84.139359,Dayton,OH,22.5
